Ticker,Security,SectorID
PCG,PG&E CORP,UT
STX,SEAGATE TECHNOLO,IT
STT,STATE ST CORP,FN
TSCO,TRACTOR SUPPLY,CD
VTR,VENTAS INC,RL
WTW,WILLIS TOWERS WA,FN
XYL,XYLEM INC,IN
AEE,AMEREN CORP,UT
AWK,AMERICAN WATER W,UT
ADM,ARCHER-DANIELS,CS
ATO,ATMOS ENERGY,UT
BR,BROADRIDGE FINL,IN
BRO,BROWN & BROWN,FN
CCL,CARNIVAL CORP,CD
CBOE,CBOE GLOBAL MARK,FN
CDW,CDW CORP/DE,IT
CNC,CENTENE CORP,HC
CNP,CENTERPOINT ENER,UT
CHD,CHURCH & DWIGHT,CS
STZ,CONSTELLATION-A,CS
DRI,DARDEN RESTAURAN,CD
FANG,DIAMONDBACK ENER,EN
DG,DOLLAR GENERAL C,CS
DOV,DOVER CORP,IN
DTE,DTE ENERGY CO,UT
ES,EVERSOURCE ENERG,UT
EXE,EXPAND ENERGY CO,EN
FITB,FIFTH THIRD BANC,FN
FTV,FORTIVE CORP,IN
GDDY,GODADDY INC-A,IT
HSY,HERSHEY CO/THE,CS
HPE,HEWLETT PACKA,IT
HBAN,HUNTINGTON BANC,FN
IP,INTL PAPER CO,MT
IQV,IQVIA HOLDINGS I,HC
LEN,LENNAR CORP-A,CD
LULU,LULULEMON ATH,CD
MTD,METTLER-TOLEDO,HC
PPG,PPG INDS INC,MT
PPL,PPL CORP,UT
RJF,RAYMOND JAMES,FN
SBAC,SBA COMM CORP,RL
STE,STERIS PLC,HC
SYF,SYNCHRONY FINANC,FN
TYL,TYLER TECHNOLOG,IT
UAL,UNITED AIRLINES,IN
VLTO,VERALTO CORP,IN
WBD,WARNER BROS DISC,TC
AMCR,AMCOR PLC,MT
BIIB,BIOGEN INC,HC
CINF,CINCINNATI FIN,FN
CFG,CITIZENS FINANCI,FN
CMS,CMS ENERGY CORP,UT
CPAY,CORPAY INC,FN
CTRA,COTERRA ENERGY I,EN
DVN,DEVON ENERGY CO,EN
DLTR,DOLLAR TREE INC,CS
DOW,DOW INC,MT
EIX,EDISON INTL,UT
EQR,EQUITY RESIDENTI,RL
ESS,ESSEX PROPERTY,RL
EXPE,EXPEDIA GROUP IN,CD
FE,FIRSTENERGY CORP,UT
GPN,GLOBAL PAYMENTS,FN
HPQ,HP INC,IT
HUBB,HUBBELL INC,IN
PODD,INSULET CORP,HC
IFF,INTL FLVR & FRAG,MT
INVH,INVITATION HOMES,RL
JBL,JABIL INC,IT
K,KELLANOVA,CS
KHC,KRAFT HEINZ CO/T,CS
LH,LABCORP HOLDINGS,HC
LDOS,LEIDOS HOLDINGS,IN
LII,LENNOX INTL INC,IN
LYV,LIVE NATION ENTE,TC
MKC,MCCORMICK-N/V,CS
NTAP,NETAPP INC,IT
NI,NISOURCE INC,UT
NTRS,NORTHERN TRUST,FN
NVR,NVR INC,CD
ON,ON SEMICONDUCTOR,IT
PTC,PTC INC,IT
PHM,PULTEGROUP INC,CD
DGX,QUEST DIAGNOSTIC,HC
RF,REGIONS FINANCIA,FN
SW,SMURFIT WESTROCK,MT
LUV,SOUTHWEST AIR,IN
SMCI,SUPER MICRO COMP,IT
TROW,T ROWE PRICE GRP,FN
TDY,TELEDYNE TECH,IT
TPL,TEXAS PACIFIC LA,EN
ULTA,ULTA BEAUTY INC,CD
VRSN,VERISIGN INC,IT
WAT,WATERS CORP,HC
WDC,WESTERN DIGITAL,IT
WY,WEYERHAEUSER CO,RL
WSM,WILLIAMS-SONOMA,CD
WRB,WR BERKLEY CORP,FN
ZBH,ZIMMER BIOMET HO,HC
LNT,ALLIANT ENERGY,UT
APTV,APTIV PLC,CD
AVY,AVERY DENNISON,MT
BALL,BALL CORP,MT
BAX,BAXTER INTL INC,HC
BBY,BEST BUY CO INC,CD
BLDR,BUILDERS FIRSTSO,IN
CF,CF INDUSTRIES HO,MT
CLX,CLOROX CO,CS
COO,COOPER COS INC,HC
DECK,DECKERS OUTDOOR,CD
DPZ,DOMINO'S PIZZA,CD
EL,ESTEE LAUDER,CS
EG,EVEREST GROUP LT,FN
EVRG,EVERGY INC,UT
EXPD,EXPEDITORS INTL,IN
FFIV,F5 INC,IT
FDS,FACTSET RESEARCH,FN
FSLR,FIRST SOLAR INC,IT
GEN,GEN DIGITAL INC,IT
GPC,GENUINE PARTS CO,CD
HAL,HALLIBURTON CO,EN
HOLX,HOLOGIC INC,HC
IEX,IDEX CORP,IN
JKHY,JACK HENRY,FN
J,JACOBS SOLUTIONS,IN
KEY,KEYCORP,FN
KIM,KIMCO REALTY,RL
LVS,LAS VEGAS SANDS,CD
L,LOEWS CORP,FN
LYB,LYONDELLBASELL-A,MT
MAS,MASCO CORP,IN
MAA,MID-AMERICA APAR,RL
MOH,MOLINA HEALTHCAR,HC
OMC,OMNICOM GROUP,TC
PKG,PACKAGING CORP,MT
PNR,PENTAIR PLC,IN
PFG,PRINCIPAL FINL,FN
ROL,ROLLINS INC,IN
SNA,SNAP-ON INC,IN
STLD,STEEL DYNAMICS,MT
TPR,TAPESTRY INC,CD
TER,TERADYNE INC,IT
TXT,TEXTRON INC,IN
TRMB,TRIMBLE INC,IT
TSN,TYSON FOODS-A,CS
WST,WEST PHARMACEUT,HC
ZBRA,ZEBRA TECH CORP,IT
AKAM,AKAMAI TECHNOLOG,IT
ARE,ALEXANDRIA REAL,RL
ALGN,ALIGN TECHNOLOGY,HC
ALLE,ALLEGION PLC,IN
AIZ,ASSURANT INC,FN
TECH,BIO-TECHNE CORP,HC
BG,BUNGE GLOBAL SA,CS
BXP,BXP INC,RL
CHRW,CH ROBINSON,IN
CPT,CAMDEN PROP TR,RL
KMX,CARMAX INC,CD
CAG,CONAGRA BRANDS I,CS
DAY,DAYFORCE INC,IN
EMN,EASTMAN CHEMICAL,MT
EPAM,EPAM SYSTEMS INC,IT
ERIE,ERIE INDEMNITY-A,FN
FOXA,FOX CORP - A,TC
GNRC,GENERAC HOLDINGS,IN
GL,GLOBE LIFE INC,FN
